SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015
050,1,2,36,037,New York,Genesee County,60079,60033,60029,60004,59865,59387,59099,58937,-4,-25,-139,-478,-288,-162,160,641,604,582,572,578,165,621,594,646,606,615,-5,20,10,-64,-34,-37,10,75,84,91,103,103,-10,-87,-236,-520,-355,-287,0,-12,-152,-429,-252,-184,1,-33,3,15,-2,59,1908,1915,1977,1978,1958,1948,1951,10.680396224,10.077668121,9.7608425854,9.6551491315,9.7936222847,10.347154533,9.9108193111,10.834199846,10.229056597,10.420549663,0.3332416919,0.16684881,-1.07335726,-0.573907466,-0.626927378,1.2496563445,1.4015300036,1.5261798544,1.7386020289,1.7452302687,-1.44960136,-3.937631915,-8.72102774,-5.992269129,-4.862923176,-0.199945015,-2.536101911,-7.194847885,-4.2536671,-3.117692907
050,1,2,36,039,New York,Greene County,49221,49218,49118,48992,48672,48353,47919,47625,-100,-126,-320,-319,-434,-294,117,431,429,412,425,426,161,521,493,448,522,507,-44,-90,-64,-36,-97,-81,4,33,31,34,43,43,-51,-129,-269,-292,-352,-217,-47,-96,-238,-258,-309,-174,-9,60,-18,-25,-28,-39,3400,3413,3294,3414,3358,3320,3211,8.7860564672,8.7852228047,8.4926565318,8.8291507396,8.9173574479,10.620731832,10.095838794,9.2347333162,10.844274555,10.612911329,-1.834675364,-1.31061599,-0.742076784,-2.015123816,-1.695553881,0.6727143003,0.6348296199,0.7008502963,0.8933023101,0.9001088504,-2.629701356,-5.508682831,-6.019067251,-7.31261426,-4.54240978,-1.956987055,-4.873853211,-5.318216954,-6.419311949,-3.642300929
050,1,2,36,041,New York,Hamilton County,4836,4843,4834,4831,4793,4758,4706,4712,-9,-3,-38,-35,-52,6,10,37,35,35,28,31,4,49,67,58,65,66,6,-12,-32,-23,-37,-35,0,0,0,0,0,0,-11,6,-4,-10,-8,36,-11,6,-4,-10,-8,36,-4,3,-2,-2,-7,5,80,80,82,82,83,82,82,7.6564924987,7.2734829593,7.3290754895,5.9171597633,6.5831386706,10.139679255,13.923524522,12.145325097,13.736263736,14.015714589,-2.483186756,-6.650041563,-4.816249607,-7.819103973,-7.432575918,0,0,0,0,0,1.2415933782,-0.831255195,-2.094021568,-1.690617075,7.6449352304,1.2415933782,-0.831255195,-2.094021568,-1.690617075,7.6449352304
050,1,2,36,043,New York,Herkimer County,64519,64486,64444,64623,64552,64181,63715,63100,-42,179,-71,-371,-466,-615,173,657,650,666,683,664,179,643,645,700,658,664,-6,14,5,-34,25,0,11,55,56,58,66,67,-32,22,-133,-340,-555,-634,-21,77,-77,-282,-489,-567,-15,88,1,-55,-2,-48,1426,1424,1426,1427,1421,1420,1420,10.180758831,10.063866847,10.346997273,10.680552949,10.471947325,9.9638172422,9.9864524869,10.875222359,10.289610308,10.471947325,0.2169415885,0.0774143604,-0.528225086,0.3909426409,0,0.8522705262,0.8670408361,0.9010898526,1.032088572,1.0566573355,0.3409082105,-2.059221986,-5.28225086,-8.678926628,-9.998817175,1.1931787366,-1.19218115,-4.381161008,-7.646838056,-8.942159839
050,1,2,36,045,New York,Jefferson County,116229,116232,116570,118172,120772,119192,118964,117635,338,1602,2600,-1580,-228,-1329,491,2137,2201,2266,2201,2195,244,887,878,881,894,919,247,1250,1323,1385,1307,1276,159,218,1235,663,523,753,-45,54,40,-3618,-2151,-3448,114,272,1275,-2955,-1628,-2695,-23,80,2,-10,93,90,6170,6160,6079,6201,5979,6173,6165,18.207223249,18.422726664,18.886166258,18.483682964,18.554600822,7.5572330473,7.3490022767,7.3427680819,7.507684039,7.7684182942,10.649990202,11.073724387,11.543398176,10.975998925,10.786182528,1.8573582912,10.337150127,5.5258288743,4.3920791414,6.365200191,0.4600795767,0.3348064819,-30.15452318,-18.06379012,-29.14636157,2.317437868,10.671956609,-24.6286943,-13.67171098,-22.78116137
050,1,2,36,047,New York,Kings County,2504700,2504710,2510335,2544744,2573998,2600098,2620720,2636735,5625,34409,29254,26100,20622,16015,10334,42204,41802,42474,41457,41719,3740,16103,15376,15991,16517,16883,6594,26101,26426,26483,24940,24836,4864,23221,21617,23724,27176,27121,-5702,-15459,-18085,-21398,-33078,-32662,-838,7762,3532,2326,-5902,-5541,-131,546,-704,-2709,1584,-3280,35609,35765,35418,36277,35399,35152,35148,16.697661896,16.332919299,16.417940448,15.881419348,15.87041639,6.3710181384,6.0077261171,6.1811763833,6.3273609614,6.4224990989,10.326643758,10.325193182,10.236764065,9.554058387,9.4479172908,9.1871956897,8.4462158866,9.1702975747,10.410629139,10.317159158,-6.11622489,-7.06618931,-8.271203317,-12.67157752,-12.42502313,3.0709707999,1.3800265768,0.8990942572,-2.26094838,-2.107863976
050,1,2,36,049,New York,Lewis County,27087,27074,27062,27085,27254,27154,27172,26957,-12,23,169,-100,18,-215,95,285,342,339,327,315,81,236,232,239,259,262,14,49,110,100,68,53,0,13,39,26,26,31,-27,-54,20,-232,-83,-326,-27,-41,59,-206,-57,-295,1,15,0,6,7,27,313,316,313,313,316,316,316,10.526898997,12.587644233,12.461402735,12.038434635,11.638862717,8.7170110994,8.5389867314,8.7854727246,9.5350292678,9.6805778788,1.8098878978,4.048657502,3.6759300103,2.5034053676,1.9582848381,0.4801743402,1.4354331143,0.9557418027,0.9571844053,1.1454118864,-1.994570336,0.7361195458,-8.528157624,-3.05562714,-12.04529919,-1.514395996,2.1715526602,-7.572415821,-2.098442735,-10.89988731
050,1,2,36,051,New York,Livingston County,65393,65219,65241,64890,64869,64764,64763,64717,22,-351,-21,-105,-1,-46,145,566,571,520,506,531,109,557,536,537,525,510,36,9,35,-17,-19,21,15,107,107,110,129,129,-23,-466,-157,-227,-77,-245,-8,-359,-50,-117,52,-116,-6,-1,-6,29,-34,49,5758,5806,5667,5846,5999,6102,6085,8.6989264664,8.8009309566,8.022648554,7.8130428405,8.2020389249,8.5606043141,8.2614693393,8.284927449,8.1064179669,7.8776645042,0.1383221523,0.5394616173,-0.262278895,-0.293375126,0.3243744208,1.6444966995,1.64921123,1.6970987326,1.9918627004,1.9925857275,-7.162013663,-2.419870683,-3.502194657,-1.188941302,-3.784368242,-5.517516964,-0.770659453,-1.805095925,0.8029213986,-1.791782515
050,1,2,36,053,New York,Madison County,73442,73453,73433,72974,72496,72559,72257,71849,-20,-459,-478,63,-302,-408,177,661,717,674,665,666,187,605,602,576,621,575,-10,56,115,98,44,91,6,44,41,48,53,53,-8,-568,-642,-78,-390,-512,-2,-524,-601,-30,-337,-459,-8,9,8,-5,-9,-40,5133,5157,4779,4646,4650,4569,4575,9.0296229005,9.8577026191,9.2930267829,9.1840680588,9.2431959807,8.2646321556,8.2766206091,7.9418151736,8.5764003977,7.9802367702,0.764990745,1.58108201,1.3512116094,0.607667661,1.2629592106,0.6010641568,0.5636901079,0.6618179311,0.731963319,0.7355696501,-7.759191842,-8.826562178,-1.075454138,-5.386145177,-7.105880394,-7.158127685,-8.26287207,-0.413636207,-4.654181858,-6.370310743
050,1,2,36,055,New York,Monroe County,744344,744402,744874,747615,748789,750414,750362,749600,472,2741,1174,1625,-52,-762,2210,8612,8303,8521,8303,8461,1539,6426,6527,6485,6459,6462,671,2186,1776,2036,1844,1999,443,2444,2469,2585,3003,2991,-641,-1684,-3118,-3165,-4558,-5966,-198,760,-649,-580,-1555,-2975,-1,-205,47,169,-341,214,26283,26510,26738,26675,26452,26375,26362,11.540453564,11.097270523,11.367373198,11.064942403,11.281619134,8.6111187419,8.7235799958,8.6512633713,8.607547029,8.6162182775,2.9293348226,2.3736905274,2.7161098264,2.4573953741,2.6654008568,3.2750660139,3.2999109866,3.4484989691,4.0019296684,3.9881010319,-2.256633047,-4.167323798,-4.222243419,-6.074190952,-7.95486819,1.0184329667,-0.867412811,-0.77374445,-2.072261283,-3.966767158
050,1,2,36,057,New York,Montgomery County,50219,50257,50284,49924,49827,49771,49729,49642,27,-360,-97,-56,-42,-87,147,564,554,593,606,607,110,594,565,627,550,541,37,-30,-11,-34,56,66,12,85,86,79,107,107,-10,-389,-175,-136,-178,-244,2,-304,-89,-57,-71,-137,-12,-26,3,35,-27,-16,920,915,903,906,922,925,925,11.2565863,11.107658069,11.907869636,12.180904523,12.216843948,11.855340891,11.328207236,12.590614269,11.055276382,10.888488593,-0.59875459,-0.220549167,-0.682744633,1.1256281407,1.3283553552,1.6964713396,1.7242934908,1.5863772365,2.1507537688,2.1535458031,-7.76385119,-3.508736755,-2.730978534,-3.577889447,-4.910889495,-6.06737985,-1.784443264,-1.144601297,-1.427135678,-2.757343692
050,1,2,36,059,New York,Nassau County,1339532,1339762,1341882,1347270,1350924,1354842,1358673,1361350,2120,5388,3654,3918,3831,2677,3708,14303,14169,13780,14086,14113,2602,10904,10743,11402,10777,10991,1106,3399,3426,2378,3309,3122,940,4377,3903,4286,4913,4915,219,-2058,-3504,-2029,-4075,-4471,1159,2319,399,2257,838,444,-145,-330,-171,-717,-316,-889,21666,21701,21651,21206,21054,20822,20828,10.637554143,10.502580615,10.185655374,10.382105866,10.377118135,8.1096196868,7.9631042097,8.4279276183,7.94320282,8.0815493104,2.5279344567,2.5394764053,1.7577277562,2.4389030464,2.2955688242,3.2553012994,2.8930462376,3.1680492696,3.6211334745,3.6139400292,-1.530594031,-2.597292856,-1.499760142,-3.00348441,-3.287472202,1.7247072683,0.2957533817,1.6682891277,0.617649064,0.3264678277
