SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015
050,3,5,37,157,North Carolina,Rockingham County,93643,93640,93650,93219,92718,91986,91821,91758,10,-431,-501,-732,-165,-63,239,963,893,943,963,958,211,1016,1051,1169,1124,1121,28,-53,-158,-226,-161,-163,12,43,43,49,60,61,-25,-367,-386,-609,21,17,-13,-324,-343,-560,81,78,-5,-54,0,54,-85,22,1055,1055,1072,1075,1067,1058,1059,10.306685432,9.6054039809,10.210932086,10.478382216,10.436923613,10.873927725,11.304904349,12.658090783,12.230219741,12.212725856,-0.567242293,-1.699500368,-2.447158697,-1.751837525,-1.775802243,0.460215445,0.4625222522,0.5305786556,0.6528587051,0.6645640297,-3.92788531,-4.151943938,-6.594334719,0.2285005468,0.1852063689,-3.467669865,-3.689421686,-6.063756064,0.8813592518,0.8497703986
050,3,5,37,159,North Carolina,Rowan County,138428,138442,138315,137995,137841,138180,138648,139142,-127,-320,-154,339,468,494,382,1541,1531,1538,1553,1533,410,1451,1440,1608,1610,1523,-28,90,91,-70,-57,10,13,51,44,58,81,81,-110,-524,-277,284,468,285,-97,-473,-233,342,549,366,-2,63,-12,67,-24,118,4286,4288,4293,4207,4315,4531,4536,11.154138468,11.100799026,11.144079617,11.219963299,11.037114367,10.502696247,10.440986673,11.651287402,11.631771353,10.965117535,0.6514422207,0.6598123523,-0.507207785,-0.411808054,0.0719968321,0.3691505917,0.3190301483,0.4202578789,0.585200919,0.5831743403,-3.792841374,-2.008439798,2.0578144417,3.3811608652,2.051909716,-3.423690782,-1.689409649,2.4780723206,3.9663617842,2.6350840563
050,3,5,37,161,North Carolina,Rutherford County,67810,67809,67746,67368,67203,66825,66537,66390,-63,-378,-165,-378,-288,-147,157,716,682,687,648,653,203,825,789,873,828,832,-46,-109,-107,-186,-180,-179,8,24,21,24,30,30,-22,-278,-75,-211,-81,7,-14,-254,-54,-187,-51,37,-3,-15,-4,-5,-57,-5,1223,1223,1224,1219,1205,1222,1222,10.598457599,10.135913384,10.25158922,9.7179106492,9.8249415092,12.211909943,11.726151994,13.02712866,12.417330274,12.518149059,-1.613452344,-1.59023861,-2.77553944,-2.699419625,-2.69320755,0.355255562,0.3121029048,0.3581341212,0.4499032708,0.451375567,-4.115043593,-1.114653231,-3.148595816,-1.214738831,0.1053209656,-3.759788031,-0.802550327,-2.790461695,-0.76483556,0.5566965327
050,3,5,37,163,North Carolina,Sampson County,63431,63431,63515,63659,63901,64071,64010,63724,84,144,242,170,-61,-286,209,852,871,835,849,840,108,642,607,606,652,660,101,210,264,229,197,180,25,116,102,112,131,133,-31,-229,-121,-178,-357,-585,-6,-113,-19,-66,-226,-452,-11,47,-3,7,-32,-14,1087,1087,1087,1082,1077,1076,1076,13.398965197,13.656318595,13.049729628,13.257235656,13.15233219,10.096403353,9.5170899969,9.4708217423,10.1810573,10.333975292,3.3025618444,4.1392285983,3.5789078861,3.0761783559,2.8183568979,1.8242722569,1.599247413,1.7503828963,2.0455805311,2.0824525968,-3.601365059,-1.897146441,-2.781858532,-5.574597325,-9.159659918,-1.777092802,-0.297899028,-1.031475635,-3.529016794,-7.077207321
050,3,5,37,165,North Carolina,Scotland County,36157,36157,36081,36317,36139,35978,35715,35509,-76,236,-178,-161,-263,-206,120,477,448,446,450,437,128,357,390,403,388,398,-8,120,58,43,62,39,4,14,14,15,16,16,-72,89,-254,-228,-337,-284,-68,103,-240,-213,-321,-268,0,13,4,9,-4,23,1730,1730,2211,2331,2379,2564,2567,13.17715959,12.366125649,12.368789606,12.553526844,12.271144558,9.8621508881,10.765154025,11.176282985,10.823929812,11.176008087,3.3150087019,1.6009716242,1.1925066212,1.7295970318,1.0951364709,0.3867510152,0.3864414265,0.4159906818,0.4463476211,0.4492867573,2.4586314539,-7.011151595,-6.323058363,-9.40119677,-7.974839942,2.8453824691,-6.624710169,-5.907067682,-8.954849148,-7.525553184
050,3,5,37,167,North Carolina,Stanly County,60585,60585,60553,60471,60496,60619,60629,60714,-32,-82,25,123,10,85,140,681,636,629,671,677,135,625,690,644,662,675,5,56,-54,-15,9,2,7,33,37,40,47,48,-38,-134,50,77,-48,32,-31,-101,87,117,-1,80,-6,-37,-8,21,2,3,2051,2051,2014,1997,2008,2033,2034,11.253966155,10.515264494,10.386822441,11.068223806,11.158451662,10.328529878,11.408069969,10.63452091,10.919767749,11.125487255,0.9254362771,-0.892805476,-0.247698468,0.148456057,0.0329644067,0.5453463776,0.6117370853,0.6605292491,0.7752705199,0.7911457604,-2.214436806,0.8266717369,1.2715188044,-0.791765637,0.5274305069,-1.669090428,1.4384088222,1.9320480535,-0.016495117,1.3185762673
050,3,5,37,169,North Carolina,Stokes County,47401,47401,47335,47192,46761,46588,46415,46351,-66,-143,-431,-173,-173,-64,107,428,388,382,397,389,145,498,477,496,492,513,-38,-70,-89,-114,-95,-124,2,9,6,9,10,10,-29,-108,-358,-102,-90,11,-27,-99,-352,-93,-80,21,-1,26,10,34,2,39,456,456,456,450,456,457,457,9.05561374,8.2594488734,8.1843404857,8.5373590099,8.3866934006,10.536672062,10.154013177,10.626787646,10.580303861,11.06008667,-1.481058322,-1.894564303,-2.442447161,-2.042944851,-2.673393269,0.1904217843,0.1277234362,0.1928247758,0.2150468264,0.2155962314,-2.285061411,-7.620831692,-2.18534746,-1.935421438,0.2371558545,-2.094639627,-7.493108256,-1.992522684,-1.720374612,0.4527520859
050,3,5,37,171,North Carolina,Surry County,73673,73673,73693,73608,73524,72993,72980,72743,20,-85,-84,-531,-13,-237,196,796,797,727,750,741,183,874,802,862,840,853,13,-78,-5,-135,-90,-112,18,53,56,66,77,80,-9,-104,-136,-506,-5,-240,9,-51,-80,-440,72,-160,-2,44,1,44,5,35,870,870,898,892,894,968,968,10.807801712,10.833809097,9.9237631128,10.275872935,10.169980031,11.866857659,10.901775277,11.766552687,11.508977688,11.707143004,-1.059055947,-0.06796618,-1.842789574,-1.233104752,-1.537162974,0.7196149381,0.7612212163,0.9009193472,1.0549896214,1.0979735526,-1.412074596,-1.848680097,-6.907048329,-0.06850582,-3.293920658,-0.692459657,-1.08745888,-6.006128982,0.9864838018,-2.195947105
050,3,5,37,173,North Carolina,Swain County,13981,13981,13997,13999,14088,14010,14286,14434,16,2,89,-78,276,148,51,174,212,190,208,209,26,204,162,202,172,195,25,-30,50,-12,36,14,2,12,5,6,7,8,-9,26,38,-62,215,136,-7,38,43,-56,222,144,-2,-6,-4,-10,18,-10,244,244,246,243,238,243,243,12.430347192,15.095951864,13.524094242,14.701724625,14.554317549,14.573510502,11.535585858,14.378247562,12.157195363,13.579387187,-2.143163309,3.5603660056,-0.854153321,2.5445292621,0.9749303621,0.8572653236,0.3560366006,0.4270766603,0.4947695787,0.5571030641,1.8574082012,2.7058781643,-4.413125489,15.196494204,9.4707520891,2.7146735248,3.0619147648,-3.986048829,15.691263783,10.027855153
050,3,5,37,175,North Carolina,Transylvania County,33090,33090,33065,32798,32815,32827,32991,33211,-25,-267,17,12,164,220,59,281,256,235,303,291,84,416,368,425,382,371,-25,-135,-112,-190,-79,-80,5,9,8,9,12,13,3,-118,122,192,241,258,8,-109,130,201,253,271,-8,-23,-1,1,-10,29,1070,1069,1066,1055,1034,1046,1048,8.5328636716,7.8033316568,7.160049968,9.2072077547,8.7912751881,12.632282161,11.217289257,12.949026538,11.607766872,11.208120601,-4.09941849,-3.4139576,-5.78897657,-2.400559118,-2.416845413,0.273294566,0.2438541143,0.2742146796,0.3646418913,0.3927373795,-3.583195421,3.7187752427,5.8499131654,7.3232246498,7.7943264554,-3.309900855,3.962629357,6.124127845,7.6878665411,8.1870638349
