destination,shipCount,lat,lon
WENZHOU,1,27.999,120.666
WESTWEGO,1,29.9112,-90.1439
WEWAK,1,-3.55,143.633
WHANGAREI,1,-35.7273,174.32
WHYALLA,5,-33.033,137.583
WILHELMSHAVEN,2,53.5196,8.1117
WONSAN,1,39.152,127.443
WUSONG,2,30.95,117.783
XIA MEN,13,24.479,118.081
XIAMEN,15,24.479,118.081
YALOVA,5,40.655,29.276
YAN TAI,2,37.533,121.4
YAN-TAI,1,37.533,121.4
YANG JIANG,3,21.85,111.966
YANG ZHOU,2,32.397,119.435
YANGJIANG,2,21.85,111.966
YANGON,5,16.805,96.156
YANTAI,14,37.533,121.4
YAROSLAVL',1,57.629,39.873
YEOSU,6,34.744,127.737
YEOSU ,1,34.744,127.737
YEOSU(,1,34.744,127.737
YING KOU,1,40.668,122.224
YIZHENG,1,32.269,119.178
YOKOHAMA,3,35.4447,139.6422
YOSU,8,34.744,127.737
YOSU ,1,34.744,127.737
YOSU !,1,34.744,127.737
YUZHNYY,9,53.254,83.693
ZARATE,1,-34.092,-59.035
ZHAN JIANG,4,21.281,110.342
ZHANG JIA GANG,8,31.865,120.538
ZHANG JIAGANG,1,31.865,120.538
ZHANG ZHOU,10,24.513,117.655
ZHANGJIAGANG,17,31.865,120.538
ZHANGZHOU,6,24.513,117.655
ZHANJIANG,21,21.281,110.342
ZHANJIANG\,1,21.281,110.342
ZHANJIANG#,1,21.281,110.342
ZHEN JIANG,6,32.209,119.434
ZHENJIANG,11,32.209,119.434
ZHENJIANG/,1,32.209,119.434
ZHUHAI,22,22.276,113.567
