destination,shipCount,lat,lon
CONSTANZA,1,18.916,-70.75
CONVENT,2,30.0206,-90.83
COQUIMBO,1,-29.953,-71.343
CORK,1,51.8983,-8.4728
CORO NEL,1,-37.016,-73.133
CORONEL,5,-37.016,-73.133
COTONOU,13,6.3519,2.4326
COTONOU            !,1,6.3519,2.4326
CRISTOBAL,30,9.3522,-79.9044
CROTONE,1,39.0813,17.1229
DA LI,1,25.7,100.183
DA LIAN,7,38.912,121.602
DAKAR,14,14.693,-17.444
DALIAN,30,38.912,121.602
DAMIETTA,24,31.419,31.815
DAMMAM,15,26.425,50.114
DAN DONG,1,40.129,124.394
DANANG,1,16.067,108.22
DANDONG,2,40.129,124.394
DAR ES SALAAM,3,-6.823,39.269
DAR ES SALAM,1,-6.823,39.269
DARU,2,-9.083,143.2
DAVAO,2,7.073,125.612
DELFZIJL,2,53.33,6.918
DESTREHAN,1,29.9549,-90.3882
DEVONPORT,1,-41.166,146.35
DJIBOUTI,3,11.587,43.144
DOHA,3,25.279,51.522
DONG GUAN,2,23.048,113.744
DONG HAI,1,22.945,115.642
DONG NAI,1,11.5798,107.3652
DORDRECHT,3,51.81,4.673
DOUALA,24,4.046,9.708
DRIFTING,5,41.0254,-78.1081
DUBAI,4,25.252,55.28
DUDINKA,1,69.405,86.177
DUMAI,8,1.683,101.45
DUNKERQUE,9,51.0371,2.3768
DURBAN,63,-29.85,31.016
DURRES,2,41.323,19.441
EAST LONDON,1,-33.015,27.911
EILAT,6,29.561,34.951
EREGLI,6,41.282,31.418
ESCANABA,1,45.7455,-87.0798
ESPANOLA,1,35.9908,-106.0803
ESPERANCE,8,42.763,-74.2608
ESPERANCE ^=^,1,42.763,-74.2608
ESSEXVILLE,1,43.616,-83.838
FAIRLESS HILLS,1,40.1737,-74.851
FAIRPORT,2,43.101,-77.4419
FALKENBERG,2,56.905,12.491
FANG CHENG,7,21.6122,108.333
FANGCHENG,34,21.6122,108.333
FERROL,1,43.4869,-8.2273
FINLAND,1,47.4161,-91.2462
FORTALEZA,3,-3.717,-38.543
FORTALEZA:,1,-3.717,-38.543
FOS SUR MER,1,43.437,4.9461
FREDRIKSTAD,2,59.218,10.929
FT.LAUDERDALE,1,26.1237,-80.1436
FUJAIRAH,74,25.123,56.337
FUJAIRAH0,1,25.123,56.337
FUKUYAMA,6,34.4859,133.3624
FUNCHAL,1,32.6469,-16.9085
GABES,2,33.881,10.098
GALLE,18,6.036,80.217
GALLE.,1,6.036,80.217
GDANSK,5,54.352,18.646
GDYNIA,8,54.518,18.531
GEELONG,9,-38.147,144.36
GEISMAR,1,30.204,-91.0256
GEMLIK,6,40.43,29.159
GENT,4,51.0556,3.7286
GERALDTON,22,-28.766,114.6
GIJON,11,43.5421,-5.6638
GIOIA TAURO,1,38.4268,15.8986
GISBORNE,2,-38.666,178.0254
GOA,2,13.697,123.489
GOOLE,1,53.7045,-0.8745
GOTEBORG,2,57.707,11.966
GOVE,3,38.959,-100.4885
GOVE     '8?1'8,1,38.959,-100.4885
GOVE #,1,38.959,-100.4885
GRAMERCY,2,30.0475,-90.6896
GREECE,1,43.2099,-77.6956
GRESIK,15,-7.153,112.656
GRESIK^ ^^,1,-7.153,112.656
GUAIBA,9,-30.113,-51.325
GUAIBA........,1,-30.113,-51.325
GUANG  ZHOU,1,23.116,113.25
GUANG ZHOU,19,23.116,113.25
GUANGZHOU,27,23.116,113.25
GUANTA,3,10.2345,-64.5955
GUAYAQUIL,9,-2.166,-79.9
GUAYMAS,4,27.9193,-110.8976
GUNSAN,4,35.978,126.711
HABANA,1,-6.0817,-77.0908
HADERA,5,32.435,34.917
HADONG,4,20.972,105.777
HAI PHONG,7,20.856,106.682
HAIFA,11,32.815,34.989
HAIMEN,1,23.193,116.614
HAIPHONG,7,20.856,106.682
HALDIA,26,22.06,88.109
HALMSTAD,2,56.674,12.856
HAMINA,1,60.569,27.197
HARCOURT,2,42.2678,-94.182
HELSINKI,1,60.169,24.935
HO CHIMINH CITY,1,10.75,106.666
HOCHIMINH CITY,1,10.75,106.666
HONIARA.,1,-9.433,159.95
HUANG ZHOU,1,30.45,114.8
HUELVA,7,37.2546,-6.9451
HUI ZHOU,3,23.083,114.4
HUIZHOU,4,23.083,114.4
HUMEN,1,22.818,113.673
IBICUI,1,-14.8417,-39.9867
ILHEUS,5,-14.788,-39.049
ILLICHIVS'K,2,46.3,30.666
ILLICHIVSK,2,46.3,30.666
IMBITUBA,6,-28.24,-48.67
IMMINGHAM,19,53.6115,-0.224
IMPERIA,1,43.8898,8.0386
